#masterid,F0design(GHz),F0measured(GHz),errF0measured(GHz),S31,errS31,Ql,errQl
442,251.51276,233.4267013261447,0.0009127435754630455,0.17027397324618754,0.0004659858847423217,349.9570241156472,1.3544698184474149
269,252.015786,233.91346779005067,0.0012405634153699002,0.22870050057147454,0.0007874067912128392,324.57148873541325,1.5802871209588538
418,252.519817,234.34949313255532,0.0012659596748554813,0.17735563015440878,0.0006382394576632133,333.06674817955445,1.6949956764109397
244,253.024857,234.772853783534,0.001389886272677637,0.2559590373589347,0.000959637391978759,316.63321266958746,1.6787805327061196
393,253.530907,235.27662778258593,0.0014187853726776905,0.1630671748990185,0.0006417367766439176,326.2552139069385,1.8155658709643152
219,254.037968,235.77500474609232,0.0019328015623814422,0.23113659253301694,0.0011482424054220515,303.06255744025765,2.1295234345825347
368,254.546044,236.18604176587834,0.00106009962982019,0.11951377322017999,0.0003824369692070836,356.50548806803533,1.6134680216400055
194,255.055137,236.63582732843972,0.0011523961415698953,0.233932523365213,0.0007519690391068578,330.06565177842316,1.5005787217446753
343,255.565247,237.07320304015497,0.0016100662077079672,0.12320802964630165,0.0003985961230698485,238.20803676473994,1.0899610746255508
169,256.076377,237.51674534792107,0.0013147789959804142,0.20461395638140237,0.0007186754366182953,317.24105943839197,1.5757487591847794
318,256.58853,238.11586705385199,0.0018097727561325126,0.1727984976629288,0.0006780594949382907,258.1639460175037,1.4327380595053514
144,257.101707,238.54508322417047,0.0013515448500267314,0.2865051990578981,0.0011250706510932073,346.48099963894674,1.9238925972038077
293,257.615911,238.93772881532158,0.00104809583803412,0.16573637215658713,0.0005008996402144913,344.5332998602908,1.4727018630263817
119,258.131142,239.41508757142105,0.0011297452136318073,0.26632468341105114,0.0008702404593073236,346.26243995426717,1.6002120776686435
441,258.647405,239.94201233149158,0.001331908118946906,0.14319492717883917,0.0004218508894096934,265.3703190949136,1.1056433876407454
268,259.164699,240.35683897593208,0.0009756774218982831,0.17000330294723487,0.0004850031050443401,351.44298769280675,1.4180610283958641
